Food on the Table,,,,,,,,,,
Wikitongues,,,,,,,,,,
Osmotic Bubble: Creative Insight by Dint of Synchronized Atmospheres,,,,,,,,,,
~KNTRL~,,,,,,,,,,
Shi's Babyhood,,,,,,,,,,average word length
Hello Compost,,,,,,,,,,words that arent in the dictionary/not real words
22/15,,,,,,,,,,"flecsh index, readability"
Tectonic Illusions,,,,,,,,,,"concordance, word count"
dataCoach: Data Collection and Visualization Tools for the Non-Professional Sports Community,,,,,,,,,,
Emoti-bots,,,,,,,,,,
Modes of Sight: Mediating Privacy in the Urban Habitat,,,,,,,,,,
Story Connection,,,,,,,,,,
I.A. on A.I.,,,,,,,,,,
Cosmos – Revisited & Redesigned,,,,,,,,,,
Urbanization in Motion: Forced Displacement, Crises and the City (2016),,,,,,,,,
Eat Salad at Staircase, Kurosawa, and Chicken Delivery Guys,,,,,,,,
Welcomesburg,,,,,,,,,,
A Noisy Modernity,,,,,,,,,,
Misrani,,,,,,,,,,
Favelization,,,,,,,,,,
To Make a Mirror,,,,,,,,,,
The Urban Atlas Project,,,,,,,,,,
One is more (convertible garment),,,,,,,,,,
newyork129,,,,,,,,,,
The Bitter Sip,,,,,,,,,,
UrbanScan,,,,,,,,,,
Dreamscapes,,,,,,,,,,
Martissant Park, Haiti,,,,,,,,,
Blank Plate,,,,,,,,,,
Birchbox,,,,,,,,,,
NOVO Foundation,,,,,,,,,,
Compendia,,,,,,,,,,
Redrawing the boundaries of craft in India,,,,,,,,,,
Children of Leningradsky,,,,,,,,,,
Chasing Cars,,,,,,,,,,
Daylight in A Ceramics Museum,,,,,,,,,,
NUMBERELEVEN,,,,,,,,,,
Possessed: The Domestication of the Occult in the United States, 1850 – 1970,,,,,,,,,
FRAMED - NY Public Library,,,,,,,,,,
The A-Cup,,,,,,,,,,
Imagining Edilia  Performance Piece ,,,,,,,,,,
Atrium electric lighting visualization,,,,,,,,,,
Laura Love Li,,,,,,,,,,
Saving Fish From Drowning,,,,,,,,,,
Terminal Perfection: Dress, Design & Decoration,,,,,,,,,
Dualis,,,,,,,,,,
4 Phases of Innovation,,,,,,,,,,
Unboxing videos,,,,,,,,,,
Nuestro Museo,,,,,,,,,,
Developing Gardens: The Garden District in 2030,,,,,,,,,,
New Jersey,,,,,,,,,,
AUX Hosue,,,,,,,,,,
The Roofline(s),,,,,,,,,,
Inside-Outside Office,,,,,,,,,,
Young, Homeless, and LGBT,,,,,,,,
Uncommon Creatures,,,,,,,,,,
Our Collective Body,,,,,,,,,,
TOMO,,,,,,,,,,
Social Dreaming: From Inquiry to Insight,,,,,,,,,,
Ad Tempus,,,,,,,,,,
East Harlem Tutorial Program,,,,,,,,,,
Red Riding Hood,,,,,,,,,,
Relevance of craft in postindustrial and digital design practices,,,,,,,,,,
Habitation Leclerc,,,,,,,,,,
pulsation|segmentation,,,,,,,,,,
Total number of people affected & killed for water related natural disasters over 30 years,,,,,,,,,,
Origins,,,,,,,,,,
Re:Source Albany,,,,,,,,,,
Uncompromise,,,,,,,,,,
The Ecology of Disruption,,,,,,,,,,
Reminiscence,,,,,,,,,,
Illuminating Illusions: Southbridge Towers & The Mythos of Privatization,,,,,,,,,,
Media-tion,,,,,,,,,,
A Walk in a Woman's Shoes: Re-thinking Lighting in Urban Nightscapes (2016),,,,,,,,,,
Journey through Health Care,,,,,,,,,,
Comparision of Gross National Income, Education, and Gender,,,,,,,,
Hillary Clinton's Sartorial Missteps,,,,,,,,,,
Pockets of the Interiors: Private Workspheres in the Open-plan  Environment,,,,,,,,,,
We All Matter: Design in Pursuit of Justice,,,,,,,,,,
Design Connector,,,,,,,,,,
Knitztape,,,,,,,,,,
Mouth Filled Ash,,,,,,,,,,
Religious Beliebs / Justin Bieber's Anne Frank House,,,,,,,,,,
News, Nuooz, Niuws,,,,,,,,
Lux and Lumen,,,,,,,,,,
A Place for Dust,,,,,,,,,,
Untitled,,,,,,,,,,
Technology Re-envisioning & Humanness Rebuilding,,,,,,,,,,
Walkabout,,,,,,,,,,
Océan Sucré,,,,,,,,,,
Agricultural Productivity Differences Between Male and Female Managed Farms,,,,,,,,,,
Black Mags,,,,,,,,,,
The Matchbox,,,,,,,,,,
Pop-Up Space for A Performance,,,,,,,,,,
The Dollies,,,,,,,,,,
St. Ann's Warehouse,,,,,,,,,,
Untitled,,,,,,,,,,
Healthy Dying: Design and End-Of-Life Care,,,,,,,,,,
Hart Hotel,,,,,,,,,,
Cognitive Restoration,,,,,,,,,,
The Economy of Shape,,,,,,,,,,
Uniface,,,,,,,,,,
Productive Anonymity,,,,,,,,,,
Bottle Axe,,,,,,,,,,
